T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
1.3826146475017111,190.0,44.975,45.03,0.05,45.54,0.57,0.4620627183495884,0.4689537035662371
1.3826146475017111,210.0,37.0,37.15,0.15,37.43,0.43,0.4564807393613331,0.46138032587102645
1.3826146475017111,230.0,30.525,30.58,0.05,30.74,0.22,0.45405562196939653,0.4565294152808318
1.3826146475017111,250.0,25.25,25.13,-0.12,24.83,-0.42,0.4531194041019981,0.4482962951217085
1.3826146475017111,260.0,22.925,22.78,-0.15,22.77,-0.16,0.45223672468278264,0.45039298115787607
1.3826146475017111,270.0,20.9,20.65,-0.25,21.06,0.16,0.4524355258471196,0.4542686253854654
1.6344969199178645,140.0,75.225,74.71,-0.51,75.02,-0.2,0.4874700918442089,0.48424595382051117
1.6344969199178645,150.0,69.225,68.92,-0.31,68.74,-0.49,0.48039451694247065,0.4733655024958594
1.6344969199178645,170.0,58.625,58.46,-0.16,58.54,-0.08,0.47215684225847354,0.47111162378067417
1.6344969199178645,190.0,49.45,49.44,-0.01,49.74,0.29,0.4654630122137471,0.46870342268935583
1.6344969199178645,210.0,41.675,41.73,0.06,42.23,0.56,0.4608780896097138,0.46684039586179343
1.6344969199178645,230.0,35.125,35.18,0.06,35.68,0.56,0.45764574972002015,0.4634656548228998
1.6344969199178645,250.0,29.725,29.66,-0.07,29.99,0.26,0.4563297680712361,0.45905639437422247
1.6344969199178645,260.0,27.35,27.23,-0.12,26.9,-0.45,0.45572915988055673,0.45107148916572454
1.6344969199178645,270.0,25.200000000000003,25.01,-0.19,25.23,0.03,0.45548489674316134,0.455851845956773
1.8836413415468858,140.0,78.35,77.84,-0.51,78.45,0.1,0.4870879563857863,0.4885942489871649
1.8836413415468858,150.0,72.875,72.28,-0.59,72.54,-0.34,0.4846186294827601,0.48009084901566657
1.8836413415468858,170.0,62.6,62.22,-0.38,62.92,0.32,0.47603733353853145,0.4798342272589179
1.8836413415468858,190.0,53.675,53.48,-0.2,54.19,0.51,0.4695365215341128,0.4749927934865483
1.8836413415468858,210.0,46.0,45.92,-0.08,46.12,0.12,0.4646969502902416,0.46592807427027083
1.8836413415468858,230.0,39.5,39.43,-0.07,39.46,-0.04,0.4616739921729089,0.46126208864391927
1.8836413415468858,250.0,34.0,33.88,-0.12,33.58,-0.42,0.45980341636038585,0.45572230719369244
1.8836413415468858,260.0,31.625,31.41,-0.22,32.05,0.42,0.459647821573172,0.4637182070513541
1.8836413415468858,270.0,29.4,29.13,-0.27,29.46,0.06,0.45923005408344747,0.4597731795436317
1.9794661190965093,140.0,79.475,78.99,-0.48,79.63,0.16,0.48656549219841533,0.4888031008793732
1.9794661190965093,150.0,73.95,73.52,-0.43,73.92,-0.03,0.48253568341788844,0.4821897636343947
1.9794661190965093,170.0,63.975,63.6,-0.38,63.52,-0.46,0.4764027996670906,0.47118601272176075
1.9794661190965093,190.0,55.175,54.95,-0.22,55.65,0.48,0.4704078098636318,0.4754106962118807
1.9794661190965093,210.0,47.55,47.46,-0.09,47.93,0.38,0.4656124169288749,0.46934768597034054
1.9794661190965093,230.0,41.025,41.0,-0.03,40.77,-0.25,0.4621993246355484,0.4597989091829625
1.9794661190965093,250.0,35.55,35.44,-0.11,35.38,-0.17,0.4606540867781019,0.4590332384763053
1.9794661190965093,260.0,33.1,32.96,-0.14,33.07,-0.03,0.4598948683100521,0.45958006085379266
1.9794661190965093,270.0,30.85,30.66,-0.19,30.43,-0.42,0.4593917120825733,0.45538096685284835
2.8802190280629705,140.0,88.69999999999999,88.78,0.08,88.52,-0.18,0.47935944915725465,0.4772185281636424
2.8802190280629705,150.0,83.875,83.94,0.07,83.98,0.11,0.47764705199713825,0.47886092842445016
2.8802190280629705,170.0,74.95,75.1,0.15,74.8,-0.15,0.47362678693087645,0.4721417278663457
2.8802190280629705,190.0,66.85,67.26,0.41,68.2,1.35,0.46857523896022035,0.4808572664144733
2.8802190280629705,210.0,59.725,60.31,0.59,61.0,1.27,0.4648483158214022,0.4757539166924549
2.8802190280629705,230.0,53.45,54.16,0.71,54.02,0.57,0.4619571650670362,0.46665769888108544
2.8802190280629705,250.0,47.974999999999994,48.71,0.74,49.59,1.62,0.46009563119185753,0.47297692346169734
2.8802190280629705,260.0,45.525000000000006,46.23,0.7,46.32,0.8,0.4596277962459569,0.46594555036547325
2.8802190280629705,270.0,43.224999999999994,43.88,0.66,44.07,0.85,0.4592323912249572,0.46588810509884915
